Path,Top-level category,Extension,Size bytes,SHA-256,Authority role
00_Project/CHANGELOG.md,00_Project,.md,511,0208a046f6936f8fff8cb52d192a726f533e59bc6f010f8815cc21e868ee4da8,External evidence
00_Project/README.md,00_Project,.md,1047,027b36f066ceb6dfb81e34ba5fd9dc26e9086a8ed0e3c7833319ee9a0587a227,External evidence
00_Project/VERSION,00_Project,,6,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,External evidence
01_Knowledge_System_of_Record/01_Ontology/Current/A_Relational_Ontology_of_Computational_Interaction_v0.3.md,01_Knowledge_System_of_Record,.md,11381,dbfc0ab1594eb95bda64de60691078531493cadd65583b07c8f82a1fc5f32532,Normative
01_Knowledge_System_of_Record/02_Glossary/Computational_Interaction_Science_Glossary_v0.4.md,01_Knowledge_System_of_Record,.md,19466,0a12d901cdcb1e8f4c89e8b6093d8c12ef5d2d231e17d30535ef9b99006ec8be,Normative
01_Knowledge_System_of_Record/03_Encyclopedia/Computational_Interaction_Science_Encyclopedia_Article_Draft_v0.3.md,01_Knowledge_System_of_Record,.md,31739,39290aed817e979eb4152b8813cdfd68d51b226343d6dc14305b58042f5b4fef,Normative
01_Knowledge_System_of_Record/04_Framework/Fundamental_and_Computational_Interaction_Science_v0.4.md,01_Knowledge_System_of_Record,.md,10600,f39ee02ce7eab701616ddcce7394b30590b32a433e01eecc25be34e3a80c073c,Normative
01_Knowledge_System_of_Record/05_Specifications/Contracts/Computational_Interaction_Science_Contracts_v1.0.0-structure.1.md,01_Knowledge_System_of_Record,.md,12890,3b0492416b0117ae402fb610b02f68cce77819cbbf90b4f0ec89366ce7c36c19,Normative
01_Knowledge_System_of_Record/06_Graph/PAPER_DEPENDENCY_EDGES.csv,01_Knowledge_System_of_Record,.csv,2317,e9705634fd8f3a8ada008ac2261fa99522dbfdd5ad94dc6cd34148a92c90d221,Normative
01_Knowledge_System_of_Record/06_Graph/PAPER_DEPENDENCY_GRAPH.mmd,01_Knowledge_System_of_Record,.mmd,1340,4584625bc35dd8d08a48e52d5bbe43ac9870c637b7b00232f4047a441a40eb68,Normative
01_Knowledge_System_of_Record/06_Graph/PAPER_DEPENDENCY_NODES.csv,01_Knowledge_System_of_Record,.csv,2003,9d1b32b9e4dd91c519ce4f6766969f3fdd8f9753ce96973e90f52e0d96fdaa39,Normative
01_Knowledge_System_of_Record/07_Reviews/Computational_Interaction_Science_Wikipedia_Readiness_Review_v0.2.md,01_Knowledge_System_of_Record,.md,2910,7414ac57a26221ab3e796df31b1717214e73252795752887da936b79ed901a95,Normative
01_Knowledge_System_of_Record/README.md,01_Knowledge_System_of_Record,.md,592,9986336a3cefae8d70e584cff9c8d9944032f940d1285f44e1e73da57de78a2e,Normative
02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx,02_Research_Papers,.docx,293939,97a1c66d29e6f5adaa14a190283f86f23fe4e39862c2e38f5a76ab2539bf3dd5,Provenance
02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.pdf,02_Research_Papers,.pdf,692939,7e958588395bc56593ec6229a57cfb334f5b5b9956d21ad40383db3cc0fd3fd5,Provenance
02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx,02_Research_Papers,.docx,58230,659b77f1f4b1a311572021b467a20a836d3732b0f1f060c936458e3f23df51cd,Provenance
02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.pdf,02_Research_Papers,.pdf,260215,8c075d00f6563f824f4ec58aa0e47349ea53d1da42df6ffc791922b86b478123,Provenance
02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx,02_Research_Papers,.docx,57355,0f95061d23e59ad59ef2ad5931f446b2a88466d1c3c25fa5875ac4d5924a58da,Provenance
02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.pdf,02_Research_Papers,.pdf,274900,e79935ce5bc5a4fec78956e5ce72b661e69ffaada18f94d50f954d2753e9da6b,Provenance
02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx,02_Research_Papers,.docx,56800,09d7edc5c72867e214e8c2103d153af3ff680b9babe09ae41da7f9ec7de8a82f,Provenance
02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.pdf,02_Research_Papers,.pdf,251225,ac3693b7314d8b79cdc23021f6d802203cc71b0f8701ea220bfa2bc750184b1c,Provenance
02_Research_Papers/04_Representation_and_Projection/Scoped_Invariance_Under_Projection_v0.4.md,02_Research_Papers,.md,10111,ed99c66dcd81dfd73038d038f5da621ce557b60e81035e620b35a163744ee457,Provenance
02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx,02_Research_Papers,.docx,55239,2c0310ed8b4a506e38fe6b6b56528bbc14448a1d269ab2d2944159a26ac2903d,Provenance
02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.pdf,02_Research_Papers,.pdf,263904,e5a1ff3870e888ae5a30206338a42d63529e5e68df2ef671114b628540963d5e,Provenance
02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx,02_Research_Papers,.docx,51939,2e089675aa5eb87e6b732958f6931471e7743489bd5cbc62a45159c54e47a267,Provenance
02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.pdf,02_Research_Papers,.pdf,34737,f9cbe51ea0cd45d7670388c02ddf420ac321cbb8d0d4d61b7b397ce52024f8f9,Provenance
02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx,02_Research_Papers,.docx,51790,7a20f61906e4067964f1a59fc2820c18be610dd2928d3ef82c6736359b3bf1f2,Provenance
02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.pdf,02_Research_Papers,.pdf,162530,0f14e40aaf671729b227dcdf0d7ffb4308b483994bcf818819c6dc5baa91d04c,Provenance
02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx,02_Research_Papers,.docx,52166,5e14eeb1f3d42a7a8d8b859b45ef82a35c477b5d2ca3a17eac5c0e51123642f4,Provenance
02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.pdf,02_Research_Papers,.pdf,242256,8fbc91bda172464dc43f00611e3fcb83ab2ca5f13a870f4f5af270cc4fa116dd,Provenance
