Concept ID,Concept,Paper ID,Paper,Mention Count,Role,Source Path
domain-commitments,Domain commitments,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",0,No direct mention,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
domain-commitments,Domain commitments,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",1,Supporting,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
domain-commitments,Domain commitments,03,How Sciences Define Their Objects,0,No direct mention,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
domain-commitments,Domain commitments,04,"Representation, Invariance, and Projection",0,No direct mention,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
domain-commitments,Domain commitments,05,"Ontology, Semantics, Representation, and Interpretation",3,Originating,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
domain-commitments,Domain commitments,06,"Opportunity, Affordance, and Action Availability",0,No direct mention,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
domain-commitments,Domain commitments,07,Interaction,0,No direct mention,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
domain-commitments,Domain commitments,08,Behavior,0,No direct mention,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
domain-commitments,Domain commitments,09,Measurement,0,No direct mention,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
domain-commitments,Domain commitments,10,Interaction Similarity,0,No direct mention,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
domain-commitments,Domain commitments,11,Interaction Transfer,0,No direct mention,02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx
domain-commitments,Domain commitments,12,Interaction Strategies,0,No direct mention,02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx
domain-commitments,Domain commitments,13,Formal Models of Computational Interaction,0,No direct mention,02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx
domain-commitments,Domain commitments,14,Predicting Interaction,0,No direct mention,02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx
domain-commitments,Domain commitments,15,Comparative Interaction,0,No direct mention,02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx
domain-commitments,Domain commitments,16,Computational Interaction Science,0,No direct mention,02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx
system-state,System state,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",0,No direct mention,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
system-state,System state,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",0,No direct mention,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
system-state,System state,03,How Sciences Define Their Objects,0,No direct mention,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
system-state,System state,04,"Representation, Invariance, and Projection",0,No direct mention,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
system-state,System state,05,"Ontology, Semantics, Representation, and Interpretation",2,Supporting,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
system-state,System state,06,"Opportunity, Affordance, and Action Availability",3,Originating,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
system-state,System state,07,Interaction,1,Supporting,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
system-state,System state,08,Behavior,0,No direct mention,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
system-state,System state,09,Measurement,0,No direct mention,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
system-state,System state,10,Interaction Similarity,0,No direct mention,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
system-state,System state,11,Interaction Transfer,0,No direct mention,02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx
system-state,System state,12,Interaction Strategies,1,Supporting,02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx
system-state,System state,13,Formal Models of Computational Interaction,0,No direct mention,02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx
system-state,System state,14,Predicting Interaction,1,Supporting,02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx
system-state,System state,15,Comparative Interaction,0,No direct mention,02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx
system-state,System state,16,Computational Interaction Science,0,No direct mention,02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx
semantic-assignment,Semantic assignment,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",0,No direct mention,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
semantic-assignment,Semantic assignment,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",0,No direct mention,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
semantic-assignment,Semantic assignment,03,How Sciences Define Their Objects,0,No direct mention,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
semantic-assignment,Semantic assignment,04,"Representation, Invariance, and Projection",0,No direct mention,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
semantic-assignment,Semantic assignment,05,"Ontology, Semantics, Representation, and Interpretation",2,Originating,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
semantic-assignment,Semantic assignment,06,"Opportunity, Affordance, and Action Availability",0,No direct mention,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
semantic-assignment,Semantic assignment,07,Interaction,0,No direct mention,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
semantic-assignment,Semantic assignment,08,Behavior,0,No direct mention,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
semantic-assignment,Semantic assignment,09,Measurement,0,No direct mention,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
semantic-assignment,Semantic assignment,10,Interaction Similarity,0,No direct mention,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
semantic-assignment,Semantic assignment,11,Interaction Transfer,0,No direct mention,02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx
semantic-assignment,Semantic assignment,12,Interaction Strategies,0,No direct mention,02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx
semantic-assignment,Semantic assignment,13,Formal Models of Computational Interaction,0,No direct mention,02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx
semantic-assignment,Semantic assignment,14,Predicting Interaction,0,No direct mention,02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx
semantic-assignment,Semantic assignment,15,Comparative Interaction,0,No direct mention,02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx
semantic-assignment,Semantic assignment,16,Computational Interaction Science,0,No direct mention,02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx
semantic-state,Semantic state,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",0,No direct mention,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
semantic-state,Semantic state,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",0,No direct mention,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
semantic-state,Semantic state,03,How Sciences Define Their Objects,0,No direct mention,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
semantic-state,Semantic state,04,"Representation, Invariance, and Projection",1,Supporting,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
semantic-state,Semantic state,05,"Ontology, Semantics, Representation, and Interpretation",7,Originating,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
semantic-state,Semantic state,06,"Opportunity, Affordance, and Action Availability",0,No direct mention,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
semantic-state,Semantic state,07,Interaction,0,No direct mention,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
semantic-state,Semantic state,08,Behavior,0,No direct mention,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
semantic-state,Semantic state,09,Measurement,0,No direct mention,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
semantic-state,Semantic state,10,Interaction Similarity,0,No direct mention,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
semantic-state,Semantic state,11,Interaction Transfer,0,No direct mention,02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx
semantic-state,Semantic state,12,Interaction Strategies,0,No direct mention,02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx
semantic-state,Semantic state,13,Formal Models of Computational Interaction,0,No direct mention,02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx
semantic-state,Semantic state,14,Predicting Interaction,0,No direct mention,02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx
semantic-state,Semantic state,15,Comparative Interaction,0,No direct mention,02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx
semantic-state,Semantic state,16,Computational Interaction Science,1,Supporting,02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx
information,Information,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",10,Supporting,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
information,Information,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",10,Supporting,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
information,Information,03,How Sciences Define Their Objects,2,Supporting,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
information,Information,04,"Representation, Invariance, and Projection",24,Supporting,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
information,Information,05,"Ontology, Semantics, Representation, and Interpretation",29,Originating,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
information,Information,06,"Opportunity, Affordance, and Action Availability",6,Supporting,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
information,Information,07,Interaction,3,Supporting,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
information,Information,08,Behavior,0,No direct mention,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
information,Information,09,Measurement,4,Supporting,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
information,Information,10,Interaction Similarity,0,No direct mention,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
information,Information,11,Interaction Transfer,0,No direct mention,02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx
information,Information,12,Interaction Strategies,21,Supporting,02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx
information,Information,13,Formal Models of Computational Interaction,1,Supporting,02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx
information,Information,14,Predicting Interaction,13,Supporting,02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx
information,Information,15,Comparative Interaction,0,No direct mention,02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx
information,Information,16,Computational Interaction Science,3,Supporting,02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx
representation,Representation,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",30,Supporting,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
representation,Representation,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",4,Supporting,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
representation,Representation,03,How Sciences Define Their Objects,6,Supporting,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
representation,Representation,04,"Representation, Invariance, and Projection",60,Originating,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
representation,Representation,05,"Ontology, Semantics, Representation, and Interpretation",25,Supporting,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
representation,Representation,06,"Opportunity, Affordance, and Action Availability",4,Supporting,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
representation,Representation,07,Interaction,2,Supporting,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
representation,Representation,08,Behavior,6,Supporting,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
representation,Representation,09,Measurement,8,Supporting,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
representation,Representation,10,Interaction Similarity,6,Supporting,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
representation,Representation,11,Interaction Transfer,15,Supporting,02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx
representation,Representation,12,Interaction Strategies,10,Supporting,02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx
representation,Representation,13,Formal Models of Computational Interaction,5,Supporting,02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx
representation,Representation,14,Predicting Interaction,3,Supporting,02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx
representation,Representation,15,Comparative Interaction,3,Supporting,02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx
representation,Representation,16,Computational Interaction Science,12,Supporting,02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx
projection,Projection,01,"INTERACTION AS A
SCIENTIFIC EXPLANANDUM",0,No direct mention,02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx
projection,Projection,02,"CAN INTERACTION BECOME A
PRIMARY SCIENTIFIC OBJECT?",1,Supporting,02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx
projection,Projection,03,How Sciences Define Their Objects,0,No direct mention,02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx
projection,Projection,04,"Representation, Invariance, and Projection",24,Supporting,02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx
projection,Projection,05,"Ontology, Semantics, Representation, and Interpretation",5,Supporting,02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx
projection,Projection,06,"Opportunity, Affordance, and Action Availability",32,Originating,02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx
projection,Projection,07,Interaction,2,Supporting,02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx
projection,Projection,08,Behavior,3,Supporting,02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx
projection,Projection,09,Measurement,6,Supporting,02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx
projection,Projection,10,Interaction Similarity,2,Supporting,02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx
