citation_key,title,field,status,reason
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,doi,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,isbn,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,issn,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,volume,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,number,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,pages,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,publisher,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,edition,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,booktitle,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,journal,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,institution,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,series,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
abate2017,On the relationship between bisimulation and trace equivalence in an approximate probabilistic context,url,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,doi,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,isbn,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,issn,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,volume,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,number,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,pages,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,publisher,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,edition,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,booktitle,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,journal,unresolved,Field absent from source and no authoritative exact match established.
